File name	Line	Function	Duration[ms]	Explored nodes
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\00000000000000_CreateIdentitySchema.cs	195	_CinemaApp.Data.Migrations.CreateIdentitySchema.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\20200702120930_extend_IdentityUser.cs	6	_CinemaApp.Data.Migrations.extend_IdentityUser.Up$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\20200702120930_extend_IdentityUser.cs	14	_CinemaApp.Data.Migrations.extend_IdentityUser.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\20200702122615_MovieField.cs	44	_CinemaApp.Data.Migrations.MovieField.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\20200702123358_GenreType.cs	40	_CinemaApp.Data.Migrations.GenreType.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\20200702135238_Movies_Genre.cs	6	_CinemaApp.Data.Migrations.Movies_Genre.Up$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\20200702135238_Movies_Genre.cs	64	_CinemaApp.Data.Migrations.Movies_Genre.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\20200703192828_MoviePhoto.cs	6	_CinemaApp.Data.Migrations.MoviePhoto.Up$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\20200703192828_MoviePhoto.cs	14	_CinemaApp.Data.Migrations.MoviePhoto.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
C:\Users\Cezar\source\repos\CinemaApp\CinemaApp\Data\Migrations\20200707200647_UserReservation.cs	53	_CinemaApp.Data.Migrations.UserReservation.Down$Microsoft.EntityFrameworkCore.Migrations.MigrationBuilder$	0	3
